entry_date,exit_date,side,entry_price,exit_price,pnl_pct,hold_candles
2023-12-01 12:00:00,2023-12-04 20:00:00,LONG,38401.5,41993.1,0.09272759657825863,20
2023-12-05 04:00:00,2023-12-05 20:00:00,LONG,41534.2,44081.7,0.06053499621998257,4
2023-12-07 00:00:00,2023-12-10 04:00:00,LONG,43941.3,43995.8,0.00044029102461693207,19
2023-12-10 04:00:00,2023-12-10 16:00:00,SHORT,43995.8,43819.5,0.003207200687338403,3
2023-12-14 08:00:00,2023-12-14 16:00:00,LONG,43269.9,43105.0,-0.004610963279323536,2
2023-12-15 12:00:00,2023-12-15 16:00:00,LONG,41930.3,42124.9,0.0038410352418179346,1
2023-12-15 20:00:00,2023-12-20 00:00:00,LONG,41968.0,42451.7,0.010725447960350673,25
2023-12-20 20:00:00,2023-12-23 08:00:00,LONG,43708.9,43583.0,-0.0036804202347805928,15
2023-12-26 08:00:00,2023-12-27 20:00:00,LONG,42719.9,43453.8,0.016379347329932924,9
2023-12-28 04:00:00,2023-12-28 08:00:00,LONG,43087.2,43112.1,-0.000222102155628552,1
2023-12-28 16:00:00,2023-12-28 20:00:00,LONG,42655.9,42600.1,-0.002108142601609693,1
2023-12-30 00:00:00,2023-12-31 08:00:00,LONG,42014.7,42561.8,0.01222163290467398,8
2024-01-01 20:00:00,2024-01-02 04:00:00,SHORT,44230.2,45495.5,-0.02940715077028824,2
2024-01-02 04:00:00,2024-01-03 12:00:00,LONG,45495.5,43014.0,-0.055343855985756835,8
2024-01-09 08:00:00,2024-01-09 16:00:00,LONG,46624.4,46873.5,0.00454269609903824,2
2024-01-14 04:00:00,2024-01-21 16:00:00,LONG,43012.8,41721.2,-0.030828270654316987,45
2024-01-22 16:00:00,2024-01-24 20:00:00,LONG,39812.5,40078.7,0.0058863422291992986,13
2024-01-27 08:00:00,2024-02-01 16:00:00,LONG,41744.7,43206.3,0.03421282797576712,32
2024-02-01 20:00:00,2024-02-02 00:00:00,SHORT,43072.6,43018.1,0.0004653055538788,1
2024-02-07 20:00:00,2024-02-08 04:00:00,SHORT,44326.2,44500.8,-0.004738979655373252,2
2024-02-08 04:00:00,2024-02-18 08:00:00,LONG,44500.8,51861.1,0.16459702657030875,61
2024-02-18 08:00:00,2024-02-18 20:00:00,SHORT,51861.1,52175.9,-0.006870060218545363,3
2024-02-25 12:00:00,2024-02-26 04:00:00,LONG,51547.8,51327.5,-0.005073703242427474,4
2024-02-26 16:00:00,2024-02-26 20:00:00,SHORT,54531.3,54511.6,-0.0004387395862558868,1
2024-02-26 20:00:00,2024-02-27 04:00:00,LONG,54511.6,56100.0,0.028338752118815105,2
2024-02-27 12:00:00,2024-02-27 20:00:00,LONG,56775.0,57074.5,0.00447520915896081,2
2024-02-28 00:00:00,2024-02-28 16:00:00,LONG,56963.3,61032.8,0.0706407346484491,4
2024-03-02 12:00:00,2024-03-05 00:00:00,LONG,61834.5,68203.8,0.10220560366785537,15
2024-03-08 08:00:00,2024-03-08 16:00:00,SHORT,67822.0,68922.0,-0.017018926012208425,2
2024-03-09 08:00:00,2024-03-09 16:00:00,SHORT,68360.3,68255.0,0.000740367728052728,2
2024-03-10 04:00:00,2024-03-12 20:00:00,LONG,69430.0,71503.2,0.029060290940515588,16
2024-03-18 08:00:00,2024-03-18 16:00:00,LONG,68307.7,66985.7,-0.020153601424143984,2
2024-03-18 20:00:00,2024-03-19 04:00:00,LONG,67660.0,64742.1,-0.043925923736328726,2
2024-03-23 04:00:00,2024-03-23 16:00:00,LONG,64606.5,64917.9,0.004019948457198602,3
2024-03-25 16:00:00,2024-03-30 16:00:00,LONG,71019.6,69944.7,-0.01593525843569956,30
2024-03-31 20:00:00,2024-04-11 12:00:00,LONG,71363.0,70045.9,-0.019256342922803215,64
2024-04-13 00:00:00,2024-04-13 20:00:00,LONG,67188.4,63939.7,-0.04915209649284694,5
2024-04-17 04:00:00,2024-04-17 16:00:00,LONG,63260.8,60997.2,-0.03658203247508735,3
2024-04-18 08:00:00,2024-04-18 12:00:00,LONG,62563.0,63474.0,0.013761322187235267,1
2024-04-19 00:00:00,2024-04-19 04:00:00,LONG,61757.1,64519.6,0.043931698865393616,1
2024-04-20 04:00:00,2024-04-20 16:00:00,LONG,63937.9,64834.7,0.013226109709577506,3
2024-04-22 20:00:00,2024-04-28 20:00:00,LONG,66778.0,63088.3,-0.056053227110725044,36
2024-04-29 00:00:00,2024-04-29 12:00:00,LONG,62259.9,63012.2,0.011283218893701975,3
2024-05-03 00:00:00,2024-05-03 12:00:00,LONG,59687.9,61662.1,0.032275380437241,3
2024-05-18 04:00:00,2024-05-22 20:00:00,LONG,66854.1,69219.1,0.034575541664609945,28
2024-05-22 20:00:00,2024-05-23 08:00:00,SHORT,69219.1,70019.5,-0.012363282388820342,3
2024-05-24 00:00:00,2024-05-25 08:00:00,LONG,67905.8,69112.5,0.016970205196021507,8
2024-05-27 16:00:00,2024-05-27 20:00:00,SHORT,69298.0,69461.6,-0.003160818494040316,1
2024-06-03 08:00:00,2024-06-03 12:00:00,SHORT,69125.5,69650.0,-0.008387648552270869,1
2024-06-03 12:00:00,2024-06-10 20:00:00,LONG,69650.0,69558.7,-0.002110839913855031,44
2024-06-10 20:00:00,2024-06-11 04:00:00,SHORT,69558.7,67582.0,0.02761772488560018,2
2024-06-13 16:00:00,2024-06-13 20:00:00,LONG,66620.8,66786.9,0.001693215332148387,1
2024-06-19 12:00:00,2024-06-20 04:00:00,SHORT,64895.0,65831.4,-0.015229462978657743,4
2024-06-21 12:00:00,2024-06-21 16:00:00,LONG,63716.9,64207.5,0.006899684071258936,1
2024-06-21 16:00:00,2024-06-23 04:00:00,SHORT,64207.5,64390.0,-0.003642347077833586,9
2024-06-24 00:00:00,2024-06-26 20:00:00,SHORT,62840.1,60860.1,0.03070854311180282,17
2024-06-26 20:00:00,2024-06-27 08:00:00,LONG,60860.1,61188.5,0.004595981932333359,3
2024-07-01 00:00:00,2024-07-04 04:00:00,SHORT,63416.4,58214.0,0.08123556177897202,19
2024-07-06 16:00:00,2024-07-08 04:00:00,SHORT,57834.8,55828.4,0.03389191559407141,9
2024-07-10 00:00:00,2024-07-10 08:00:00,LONG,58157.7,58469.4,0.004559565457368575,2
2024-07-10 16:00:00,2024-07-10 20:00:00,LONG,57374.1,57707.0,0.005002269665232247,1
2024-07-12 00:00:00,2024-07-12 04:00:00,SHORT,56887.6,57071.4,-0.004030932575816222,1
2024-07-12 20:00:00,2024-07-16 08:00:00,SHORT,57870.0,63719.8,-0.1018851909452221,21
2024-07-17 12:00:00,2024-07-18 16:00:00,SHORT,64695.8,63535.6,0.017133157948429487,7
2024-07-20 20:00:00,2024-07-22 08:00:00,LONG,67095.6,67479.1,0.0049157250251879395,9
2024-07-23 20:00:00,2024-07-25 04:00:00,LONG,65916.4,64115.1,-0.02812703849117967,8
