entry_date,exit_date,side,entry_price,exit_price,pnl_pct,hold_candles
2024-01-04 12:00:00,2024-01-09 20:00:00,LONG,103.691,99.347,-0.042693703407238895,32
2024-01-10 04:00:00,2024-01-10 12:00:00,LONG,98.159,94.803,-0.03498942735765451,2
2024-01-10 16:00:00,2024-01-10 20:00:00,LONG,96.317,102.063,0.058857173707652956,1
2024-01-11 16:00:00,2024-01-12 04:00:00,LONG,101.378,98.842,-0.025815289313263243,3
2024-01-13 04:00:00,2024-01-14 04:00:00,LONG,92.551,98.307,0.06139273697745027,6
2024-01-17 12:00:00,2024-01-17 16:00:00,SHORT,99.408,100.787,-0.014672122967970434,1
2024-01-18 08:00:00,2024-01-18 12:00:00,LONG,98.962,98.27,-0.007792583011661115,1
2024-01-19 00:00:00,2024-01-26 04:00:00,LONG,93.089,87.0,-0.06621052111420252,43
2024-01-26 20:00:00,2024-01-27 12:00:00,LONG,92.261,92.783,0.004857861935162263,4
2024-01-28 00:00:00,2024-02-02 16:00:00,LONG,96.609,99.436,0.028462284052210587,34
2024-02-04 12:00:00,2024-02-14 04:00:00,LONG,97.603,113.099,0.15796561171275483,58
2024-02-14 04:00:00,2024-02-14 20:00:00,SHORT,113.099,117.092,-0.03610535194829304,4
2024-02-14 20:00:00,2024-02-15 20:00:00,LONG,117.092,113.598,-0.030639784101390358,6
2024-02-16 16:00:00,2024-02-20 08:00:00,LONG,108.724,110.481,0.015360185423641428,22
2024-02-20 16:00:00,2024-02-25 08:00:00,LONG,107.384,102.883,-0.04271499664754531,28
2024-02-27 08:00:00,2024-02-27 20:00:00,LONG,111.658,108.45,-0.029530588045639346,3
2024-02-29 00:00:00,2024-02-29 12:00:00,SHORT,123.695,132.454,-0.07161126965520041,3
2024-02-29 12:00:00,2024-03-01 00:00:00,LONG,132.454,134.114,0.011732652845516152,3
2024-03-01 20:00:00,2024-03-02 08:00:00,LONG,129.456,128.885,-0.00521076504758372,3
2024-03-02 08:00:00,2024-03-02 12:00:00,SHORT,128.885,128.033,0.005810544283663762,1
2024-03-05 16:00:00,2024-03-05 20:00:00,SHORT,119.417,125.358,-0.050550035589572696,1
2024-03-07 20:00:00,2024-03-11 16:00:00,LONG,143.997,146.853,0.019033746536386138,23
2024-03-11 16:00:00,2024-03-12 08:00:00,SHORT,146.853,150.61,-0.02638340653578752,4
2024-03-14 00:00:00,2024-03-15 04:00:00,LONG,167.589,176.253,0.05089790380036868,7
2024-03-17 20:00:00,2024-03-18 08:00:00,SHORT,201.962,208.206,-0.03171670710331646,3
2024-03-18 08:00:00,2024-03-18 20:00:00,LONG,208.206,196.143,-0.05873781159044403,3
2024-03-22 08:00:00,2024-03-24 04:00:00,LONG,172.25,173.761,0.007972133526850483,11
2024-03-25 08:00:00,2024-03-28 04:00:00,LONG,188.079,187.495,-0.0039050781852306912,17
2024-03-30 08:00:00,2024-04-07 20:00:00,LONG,197.974,179.615,-0.09353439946659653,51
2024-04-09 20:00:00,2024-04-12 00:00:00,LONG,172.558,174.184,0.008622918670823751,13
2024-04-13 12:00:00,2024-04-13 20:00:00,LONG,149.005,138.467,-0.07152245897788653,2
2024-04-19 16:00:00,2024-04-20 08:00:00,LONG,145.435,141.462,-0.02811804586241285,4
2024-04-23 00:00:00,2024-04-26 20:00:00,LONG,155.403,139.202,-0.10505152667580415,23
2024-04-29 00:00:00,2024-04-29 04:00:00,LONG,134.908,134.904,-0.0008296498354433442,1
2024-04-30 08:00:00,2024-04-30 12:00:00,LONG,128.73,127.707,-0.008746865532509876,1
2024-05-18 00:00:00,2024-05-22 04:00:00,LONG,173.144,179.883,0.038121360255047844,25
2024-05-22 04:00:00,2024-05-22 20:00:00,SHORT,179.883,177.03,0.015060309200980683,4
2024-05-27 00:00:00,2024-05-27 04:00:00,LONG,165.422,165.613,0.00035462272249158204,1
2024-05-28 00:00:00,2024-05-28 04:00:00,LONG,167.489,166.204,-0.008472145633444565,1
2024-05-29 00:00:00,2024-05-29 16:00:00,LONG,172.458,169.52,-0.017836031961405027,4
2024-06-02 20:00:00,2024-06-03 04:00:00,LONG,163.251,165.433,0.012565921188844097,2
2024-06-04 20:00:00,2024-06-05 04:00:00,SHORT,171.888,173.534,-0.010376002978683716,2
2024-06-05 04:00:00,2024-06-11 04:00:00,LONG,173.534,153.361,-0.11704811276176427,36
2024-06-13 04:00:00,2024-06-14 12:00:00,SHORT,152.071,143.733,0.05402965193889692,8
2024-06-14 12:00:00,2024-06-14 16:00:00,LONG,143.733,141.756,-0.014554670117509575,1
2024-06-14 16:00:00,2024-06-17 08:00:00,SHORT,141.756,143.861,-0.01564945963486547,16
2024-06-17 08:00:00,2024-06-17 12:00:00,LONG,143.861,141.178,-0.01944994682367002,1
2024-06-17 12:00:00,2024-06-17 20:00:00,SHORT,141.178,143.197,-0.015101095071470099,2
2024-06-17 20:00:00,2024-06-18 04:00:00,LONG,143.197,136.617,-0.046750683324371406,2
2024-06-18 12:00:00,2024-06-18 16:00:00,SHORT,135.969,133.048,0.020682837999838145,1
2024-06-19 08:00:00,2024-06-22 16:00:00,SHORT,137.891,134.442,0.024212509880992845,20
2024-06-22 16:00:00,2024-06-23 00:00:00,LONG,134.442,134.713,0.001215739129141091,2
2024-06-24 00:00:00,2024-06-27 08:00:00,SHORT,126.18,139.015,-0.10251976541448707,20
2024-06-27 16:00:00,2024-06-29 04:00:00,SHORT,148.418,141.932,0.04290089881281258,9
2024-07-02 08:00:00,2024-07-05 00:00:00,SHORT,149.609,123.621,0.17290612730517557,16
2024-07-06 08:00:00,2024-07-07 12:00:00,SHORT,138.654,137.031,0.010905396165995864,7
2024-07-08 00:00:00,2024-07-08 04:00:00,LONG,130.635,132.536,0.013751996019443569,1
2024-07-08 04:00:00,2024-07-08 12:00:00,SHORT,132.536,137.385,-0.037386285990221445,2
2024-07-12 08:00:00,2024-07-12 20:00:00,SHORT,135.585,139.379,-0.02878244643581504,3
2024-07-14 08:00:00,2024-07-15 08:00:00,SHORT,144.84,151.604,-0.047499806683236744,6
2024-07-15 12:00:00,2024-07-15 20:00:00,SHORT,152.838,159.294,-0.043040803988537,2
2024-07-17 08:00:00,2024-07-19 00:00:00,LONG,160.773,161.788,0.005513249115212223,10
2024-07-19 00:00:00,2024-07-19 08:00:00,SHORT,161.788,162.602,-0.005831275496328485,2
2024-07-19 08:00:00,2024-07-25 04:00:00,LONG,162.602,169.342,0.040650904662919325,35
2024-07-26 08:00:00,2024-07-26 20:00:00,SHORT,178.726,182.991,-0.024663343889529305,3
2024-07-26 20:00:00,2024-07-28 12:00:00,LONG,182.991,184.083,0.005167506598685096,10
2024-07-28 12:00:00,2024-07-28 16:00:00,SHORT,184.083,184.676,-0.004021372967628675,1
2024-07-29 04:00:00,2024-07-29 20:00:00,LONG,192.302,182.509,-0.05172510738317858,4
2024-07-30 16:00:00,2024-07-31 12:00:00,LONG,177.86,180.018,0.011333138423479067,5
2024-08-01 00:00:00,2024-08-01 16:00:00,LONG,168.595,162.3,-0.03813799934754879,4
2024-08-15 20:00:00,2024-08-16 00:00:00,LONG,142.538,141.937,-0.005016419481120818,1
2024-08-16 16:00:00,2024-08-16 20:00:00,LONG,140.844,138.986,-0.013991900258441993,1
2024-08-18 16:00:00,2024-08-19 04:00:00,SHORT,146.383,142.217,0.02765958888668764,3
2024-08-20 08:00:00,2024-08-20 16:00:00,SHORT,145.332,143.969,0.008578526408499158,2
2024-08-23 20:00:00,2024-08-24 12:00:00,SHORT,153.228,159.372,-0.040897110188738386,4
2024-08-28 20:00:00,2024-09-04 20:00:00,SHORT,143.892,133.564,0.07097605426291943,42
2024-09-04 20:00:00,2024-09-05 08:00:00,LONG,133.564,132.78,-0.006669845167859542,3
2024-09-09 20:00:00,2024-09-10 04:00:00,SHORT,135.014,134.885,0.00015545647118090776,2
2024-09-10 20:00:00,2024-09-11 08:00:00,SHORT,135.563,131.925,0.02603623112501182,3
2024-09-13 20:00:00,2024-09-14 08:00:00,SHORT,138.916,136.735,0.014900135333582762,3
2024-09-16 00:00:00,2024-09-16 04:00:00,LONG,130.543,131.178,0.004064297587767945,1
